Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1501778453,2017-08-03T16:40:53Z,BOE004,"47.53941,-122.313606",0,20,222
1501778444,2017-08-03T16:40:44Z,BOE004,"47.539558,-122.31321",0,18,225
1501778438,2017-08-03T16:40:38Z,BOE004,"47.53965,-122.312958",0,21,225
1501778432,2017-08-03T16:40:32Z,BOE004,"47.539783,-122.312569",0,26,225
1501778426,2017-08-03T16:40:26Z,BOE004,"47.539925,-122.312202",0,27,225
1501778420,2017-08-03T16:40:20Z,BOE004,"47.540131,-122.311699",0,28,244
1501778410,2017-08-03T16:40:10Z,BOE004,"47.540131,-122.311134",0,27,298
1501778404,2017-08-03T16:40:04Z,BOE004,"47.539879,-122.310806",0,32,315
1501778396,2017-08-03T16:39:56Z,BOE004,"47.539318,-122.310349",0,18,312
1501778387,2017-08-03T16:39:47Z,BOE004,"47.53854,-122.309685",0,25,312
1501778381,2017-08-03T16:39:41Z,BOE004,"47.537876,-122.30912",0,28,312
1501778375,2017-08-03T16:39:35Z,BOE004,"47.536777,-122.308182",0,34,315
1501778360,2017-08-03T16:39:20Z,BOE004,"47.534958,-122.306656",0,41,315
1501778290,2017-08-03T16:38:10Z,BOE004,"47.503281,-122.279755",350,134,330
1501778284,2017-08-03T16:38:04Z,BOE004,"47.500275,-122.277267",400,136,330
1501778278,2017-08-03T16:37:58Z,BOE004,"47.497017,-122.274452",475,136,330
1501778272,2017-08-03T16:37:52Z,BOE004,"47.492477,-122.270691",575,136,330
1501778264,2017-08-03T16:37:44Z,BOE004,"47.488544,-122.26741",675,137,330
1501778257,2017-08-03T16:37:37Z,BOE004,"47.485332,-122.264732",725,137,329
1501778251,2017-08-03T16:37:31Z,BOE004,"47.481857,-122.261765",800,139,330
1501778245,2017-08-03T16:37:25Z,BOE004,"47.478439,-122.258888",875,141,330
1501778239,2017-08-03T16:37:19Z,BOE004,"47.475082,-122.256065",950,142,330
1501778233,2017-08-03T16:37:13Z,BOE004,"47.472015,-122.253456",1025,142,330
1501778227,2017-08-03T16:37:07Z,BOE004,"47.468388,-122.250435",1100,143,330
1501778221,2017-08-03T16:37:01Z,BOE004,"47.464893,-122.247551",1200,145,330
1501778215,2017-08-03T16:36:55Z,BOE004,"47.461212,-122.244461",1275,144,330
1501778209,2017-08-03T16:36:49Z,BOE004,"47.457867,-122.241631",1375,143,330
1501778203,2017-08-03T16:36:43Z,BOE004,"47.454483,-122.238831",1450,143,330
1501778197,2017-08-03T16:36:37Z,BOE004,"47.451069,-122.236",1525,143,330
1501778191,2017-08-03T16:36:31Z,BOE004,"47.447296,-122.232857",1575,142,330
1501778185,2017-08-03T16:36:25Z,BOE004,"47.443108,-122.22924",1675,143,329
1501778179,2017-08-03T16:36:19Z,BOE004,"47.44043,-122.226952",1725,144,330
1501778171,2017-08-03T16:36:11Z,BOE004,"47.435242,-122.222549",1825,145,330
1501778164,2017-08-03T16:36:04Z,BOE004,"47.431843,-122.219734",1925,143,330
1501778158,2017-08-03T16:35:58Z,BOE004,"47.428165,-122.216629",2000,142,330
1501778152,2017-08-03T16:35:52Z,BOE004,"47.424683,-122.213699",2075,142,330
1501778146,2017-08-03T16:35:46Z,BOE004,"47.421341,-122.210884",2150,144,330
1501778140,2017-08-03T16:35:40Z,BOE004,"47.417782,-122.207901",2250,145,329
