Name{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},SHPLATRAD{decimal},SHPLONRAD{decimal},Point_Features{point}
Abu,Honshu-Japan,Shield volcanoes,34.5,131.6,641,0.602138591938044,2.29685329562454,POINT(131.6 34.5)
Acamarachi,Chile-N,Stratovolcano,-23.3,-67.62,6046,-0.406661715714679,-1.18019164019857,POINT(-67.62 -23.3)
Acatenango,Guatemala,Stratovolcano,14.5,-90.88,3976,0.253072741539178,-1.58615522421245,POINT(-90.88 14.5)
Acigöl-Nevsehir,Turkey,Caldera,38.57,34.52,1689,0.673173492494213,0.602487657788443,POINT(34.52 38.57)
Adams,US-Washington,Stratovolcano,46.21,-121.49,3742,0.806516647346579,-2.12040050824791,POINT(-121.49 46.21)
Adams Seamount,Pacific-C,Submarine volcano,-25.37,-129.27,-39,-0.442790031230961,-2.25618712405307,POINT(-129.27 -25.37)
Adatara,Honshu-Japan,Stratovolcanoes,37.64,140.29,1718,0.656941930450666,2.44852240762284,POINT(140.29 37.64)
Adwa,Ethiopia,Stratovolcano,10.07,40.84,1733,0.175754655675829,0.712792466514484,POINT(40.84 10.07)
Afderà,Ethiopia,Stratovolcano,13.08,40.85,1295,0.228289066160858,0.712966999439684,POINT(40.85 13.08)
Agrigan,Mariana Is-C Pacific,Stratovolcano,18.77,145.67,965,0.327598300599336,2.54242112138014,POINT(145.67 18.77)
Agua,Guatemala,Stratovolcano,14.47,-90.74,3760,0.252549142763579,-1.58371176325965,POINT(-90.74 14.47)
Agua de Pau,Azores,Stratovolcano,37.77,-25.47,947,0.659210858478258,-0.444535360482956,POINT(-25.47 37.77)
Aguilera,Chile-S,Stratovolcano,-50.33,-73.75,2546,-0.878424212528746,-1.28718032334582,POINT(-73.75 -50.33)
Agung,Lesser Sunda Is,Stratovolcano,-8.34,115.51,3142,-0.145560459616327,2.01602981897865,POINT(115.51 -8.34)
Ahyi,Mariana Is-C Pacific,Submarine volcano,20.42,145.03,-137,0.356396233257242,2.53125101416738,POINT(145.03 20.42)
Akademia Nauk,Kamchatka,Stratovolcanoes,53.98,159.45,1180,0.942128730226539,2.78292749230496,POINT(159.45 53.98)
Akagi,Honshu-Japan,Stratovolcano,36.56,139.2,1828,0.638092374529127,2.42949831877611,POINT(139.2 36.56)
Akan,Hokkaido-Japan,Caldera,43.38,144.01,1499,0.75712382951514,2.51344865579703,POINT(144.01 43.38)
Akhtang,Kamchatka,Shield volcano,55.43,158.65,1956,0.967436004380457,2.768964858289,POINT(158.65 55.43)
Akita-Komaga-take,Honshu-Japan,Stratovolcanoes,39.76,140.8,1637,0.693942910592945,2.45742358680802,POINT(140.8 39.76)
Akita-Yake-yama,Honshu-Japan,Stratovolcano,39.96,140.76,1366,0.697433569096934,2.45672545510722,POINT(140.76 39.96)
Akuseki-jima,Ryukyu Is,Stratovolcanoes,29.46,129.6,584,0.51417399763753,2.26194671058465,POINT(129.6 29.46)
Akutan,Aleutian Is,Stratovolcano,54.13,-165.99,1303,0.944746724104531,-2.89707202538539,POINT(-165.99 54.13)
Alaid,Kuril Is,Stratovolcano,50.86,155.55,2339,0.887674457564316,2.71485965147718,POINT(155.55 50.86)
Alamagan,Mariana Is-C Pacific,Stratovolcano,17.6,145.83,744,0.307177948351002,2.54521364818333,POINT(145.83 17.6)
Alayta,Ethiopia,Shield volcano,12.88,40.57,1501,0.22479840765687,0.7080800775341,POINT(40.57 12.88)
Alban Hills,Italy,Caldera,41.73,12.7,949,0.728325896857234,0.22165681500328,POINT(12.7 41.73)
Alcedo,Galápagos,Shield volcano,-0.43,-91.12,1130,-0.007504915783576,-1.59034401441723,POINT(-91.12 -0.43)
Ale Bagu,Ethiopia,Stratovolcano,13.52,40.63,1031,0.235968514869633,0.709127275085296,POINT(40.63 13.52)
Alid,Ethiopia,Stratovolcano,14.88,39.92,904,0.259704992696756,0.696735437396137,POINT(39.92 14.88)
Alligator Lake,Canada,Volcanic field,60.42,-135.42,2217,1.05452793405497,-2.36352487305072,POINT(-135.42 60.42)
Almolonga,Guatemala,Stratovolcano,14.82,-91.48,3197,0.25865779514556,-1.59662719972441,POINT(-91.48 14.82)
Alney-Chashakondzha,Kamchatka,Stratovolcano,56.7,159.65,2598,0.989601685880785,2.78641815080895,POINT(159.65 56.7)
Alngey,Kamchatka,Stratovolcano,57.7,160.4,1853,1.00705497840073,2.7995081201989,POINT(160.4 57.7)
Alu,Ethiopia,Fissure vents,13.82,40.55,429,0.241204502625616,0.707731011683701,POINT(40.55 13.82)
Alutu,Ethiopia,Stratovolcano,7.77,38.78,2335,0.135612082879959,0.676838683923401,POINT(38.78 7.77)
Amak,Aleutian Is,Stratovolcano,55.42,-163.15,488,0.967261471455258,-2.84750467462875,POINT(-163.15 55.42)
Amasing,Halmahera-Indonesia,Stratovolcanoes,-0.53,127.48,1030,-0.00925024503557,2.22494573044237,POINT(127.48 -0.53)
Ambalatungan Group,Luzon-Philippines,Compound volcano,17.32,121.1,2329,0.302291026445418,2.11359372416513,POINT(121.1 17.32)
Ambang,Sulawesi-Indonesia,Complex volcano,0.75,124.42,1795,0.013089969389958,2.17153865533135,POINT(124.42 0.75)
Ambitle,New Ireland-SW Pacific,Stratovolcano,-4.08,153.65,450,-0.071209433481369,2.68169839568929,POINT(153.65 -4.08)
Ambre-Bobaomby,Madagascar,Volcanic field,-12.6,49.15,1475,-0.219911485751285,0.857829327355213,POINT(49.15 -12.6)
Ambrym,Vanuatu-SW Pacific,Pyroclastic shield,-16.25,168.12,1334,-0.283616003449079,2.93424753845287,POINT(168.12 -16.25)
Amorong,Luzon-Philippines,Lava domes,15.83,120.81,376,0.276285620590702,2.10853226933435,POINT(120.81 15.83)
Amsterdam Island,Indian O.-S,Stratovolcano,-37.83,77.52,881,-0.660258056029455,1.352979236146,POINT(77.52 -37.83)
Amukta,Aleutian Is,Stratovolcano,52.5,-171.25,1066,0.916297857297023,-2.98887634404029,POINT(-171.25 52.5)
Anatahan,Mariana Is-C Pacific,Stratovolcano,16.35,145.67,790,0.285361332701073,2.54242112138014,POINT(145.67 16.35)
Anaun,Kamchatka,Stratovolcano,56.32,158.83,1828,0.982969434723207,2.77210645094259,POINT(158.83 56.32)
Andahua-Orcopampa,Perú,Cinder cones,-15.42,-72.33,4713,-0.269129770657526,-1.2623966479675,POINT(-72.33 -15.42)
Andrus,Antarctica,Shield volcanoes,-75.8,-132.33,2978,-1.3229595730117,-2.3095941991641,POINT(-132.33 -75.8)
Aneityum,Vanuatu-SW Pacific,Stratovolcanoes,-20.2,169.78,852,-0.352556508902855,2.96322000403597,POINT(169.78 -20.2)
Aniakchak,Alaska Peninsula,Caldera,56.88,-158.17,1341,0.992743278534375,-2.76058727787943,POINT(-158.17 56.88)
Ankaizina Field,Madagascar,Cinder cones,-14.3,48.67,2878,-0.249582083035189,0.84945174694564,POINT(48.67 -14.3)
Ankaratra Field,Madagascar,Cinder cones,-19.4,47.2,2644,-0.3385938748869,0.823795406941323,POINT(47.2 -19.4)
Antillanca Group,Chile-C,Stratovolcanoes,-40.77,-72.15,1990,-0.711570736038088,-1.25925505531391,POINT(-72.15 -40.77)
Antipodes Island,Pacific-S,Pyroclastic cones,-49.68,178.77,402,-0.867079572390783,3.12012510379026,POINT(178.77 -49.68)
Antisana,Ecuador,Stratovolcano,-0.48,-78.14,5753,-0.008377580409573,-1.36380027750837,POINT(-78.14 -0.48)
Antofagasta de la Sierra,Argentina,Scoria cones,-26.08,-67.5,4000,-0.455181868920121,-1.17809724509617,POINT(-67.5 -26.08)
Antuco,Chile-C,Stratovolcano,-37.41,-71.35,2979,-0.652927673171079,-1.24529242129795,POINT(-71.35 -37.41)
Aoba,Vanuatu-SW Pacific,Shield volcano,-15.4,167.83,1496,-0.268780704807127,2.92918608362208,POINT(167.83 -15.4)
Aoga-shima,Izu Is-Japan,Stratovolcano,32.45,139.76,423,0.56635934227216,2.43927216258727,POINT(139.76 32.45)
Apagado,Chile-S,Pyroclastic cone,-41.88,-72.58,1210,-0.730943890735225,-1.26675997109748,POINT(-72.58 -41.88)
Apaneca Range,El Salvador,Stratovolcanoes,13.89,-89.79,2036,0.242426233102012,-1.56713113536571,POINT(-89.79 13.89)
Apastepeque Field,El Salvador,Volcanic field,13.72,-88.77,700,0.239459173373622,-1.54932877699537,POINT(-88.77 13.72)
Apo,Mindanao-Philippines,Stratovolcano,6.99,125.27,2938,0.121998514714404,2.1863739539733,POINT(125.27 6.99)
Apoyeque,Nicaragua,Pyroclastic shield,12.24,-86.34,518,0.213628300444106,-1.5069172761719,POINT(-86.34 12.24)
Aracar,Argentina,Stratovolcano,-24.25,-67.77,6082,-0.423242343608625,-1.18280963407656,POINT(-67.77 -24.25)
Aragats,Armenia,Stratovolcano,40.53,44.2,4095,0.707381945833302,0.771435529381494,POINT(44.2 40.53)
"Aramuaca, Laguna",El Salvador,Maar,13.43,-88.11,181,0.234397718542838,-1.5378096039322,POINT(-88.11 13.43)
Ararat,Turkey,Stratovolcano,39.7,44.3,5165,0.692895713041749,0.773180858633488,POINT(44.3 39.7)
