File Extension,MIME Type
bmp,image/bmp
bz,application/x-bzip
bz2,application/x-bzip2
csv,text/csv
dbf,text/plain
docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
gif,image/gif
gtar,application/x-gtar
gtz,application/x-compressed
gz,application/x-gzip
htm,text/html
html,text/html
ico,image/x-icon
jpe,image/jpeg
jpeg,image/jpeg
jpg,image/jpeg
json,text/json
pdf,application/pdf
png,image/png
pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
rtf,application/rtf
shp,x-gis/x-shapefile
shx,x-gis/x-shapefile
tar,application/x-tar
tif,image/tiff
tiff,image/tiff
txt,text/plain
xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
z,application/x-compress
zip,application/zip
