Country{string},Manufacturer{string},Model{string},Variant{string},Registry{string},ICAO24{string},Serial Number{string},Operator{string},Source{string},Source URL{string},Date Retrieved{string},Comments{string},Classification{string}
China,Ilyushin,Il-76,IL-76 TD,20545,7a4205,93492763,PLAAF,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
China,Ilyushin,Il-76,IL-76 MD,21045,7bbc74,1033416524,PLAAF,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
China,Ilyushin,Il-76,IL-76 MD,21048,7b005f,1033417557,PLAAF,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
China,Ilyushin,Il-76,IL-76 MD,21140,7bba29,1043418576,PLAAF,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 976,76455,152aa7,73471125,Zhukovsky Flight Research Institute,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 LL4,76529,152af1,73410308,Zhukovsky Flight Research Institute,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Ukraine,Ilyushin,Il-76,IL-76 TD,76658,50807f,53463902,Ukraine Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 MD-M,76746,152bca,73479374,Russian Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Ukraine,Ilyushin,Il-76,IL-76 MD,78820,50ff39,93496907,Ukraine Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Sweden,Saab,340,Saab 340 Open Skies “OS-100”,100001,4a8114,170,Swedish Air Force,OpenSky Network,opensky-network.org,4/15/20,Open Skies Treaty aircraft,Unclassified
Iran,Ilyushin,Il-76,IL-76 TD,15-2285,7342af,1013409297,Islamic Revolutionary Guard Corps (IRGC),OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Azerbaijan,Ilyushin,Il-76,IL-76 TD,4K-78129,600881,2093421717,Azerbaijan Ministry of Defense,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Azerbaijan,Ilyushin,Il-76,IL-76 TD-90SW,4K-AZ100,600864,2073421708,Silk Way Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Azerbaijan,Ilyushin,Il-76,IL-76 TD-90SW,4K-AZ101,600865,----,Silk Way Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Azerbaijan,Ilyushin,Il-76,IL-76 TD,4K-AZ31,60081f,----,Silk Way Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Azerbaijan,Ilyushin,Il-76,IL-76 TD,4K-AZ40,600828,----,Silk Way Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Azerbaijan,Ilyushin,Il-76,IL-76 TD,4K-AZ41,600829,----,Silk Way Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Azerbaijan,Ilyushin,Il-76,IL-76 TD,4K-AZ60,60083c,----,Silk Way Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Libya,Ilyushin,Il-76,IL-76 TD,5A-DNO,18064,43451509,Libyan Air Cargo,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
United States of America,Boeing,B-135,OC-135B Open Skies ,61-2670,ae08d5,18346,United States Air Force,OpenSky Network,opensky-network.org,4/15/20,Open Skies Treaty aircraft,Unclassified
United States of America,Boeing,B-135,OC-135B Open Skies ,61-2672,ae08d6,18348,United States Air Force,OpenSky Network,opensky-network.org,4/15/20,Open Skies Treaty aircraft,Unclassified
Algeria,Ilyushin,Il-76,IL-76 MD,7T-WIA,0a401f,83489674,Algerian Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Algeria,Ilyushin,Il-76,IL-76 MD,7T-WIC,0a4021,----,Algerian Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Algeria,Ilyushin,Il-76,IL-76 TD,7T-WID,0a4022,----,Algerian Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Algeria,Ilyushin,Il-76,IL-76 TD,7T-WIE,0a4023,----,Algerian Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Algeria,Ilyushin,Il-76,IL-76 TD,7T-WIG,0a4024,----,Algerian Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Algeria,Ilyushin,Il-76,IL-76 TD,7T-WIM,0a4028,----,Algerian Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Algeria,Ilyushin,Il-76,IL-76 TD,7T-WIP,0a4025,----,Algerian Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Algeria,Ilyushin,Il-76,IL-76 TD,7T-WIU,0a4026,----,Algerian Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Algeria,Ilyushin,Il-76,IL-76 TD,7T-WIV,0a4027,----,Algerian Air Force,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Iran,Ilyushin,Il-76,IL-76 TD,EP-PUL,7342ac,33448393,Pouya Air,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Iran,Ilyushin,Il-76,IL-76 TD,EP-PUS,7342b3,1023409321,Pouya Air,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Republic of Moldova,Ilyushin,Il-76,IL-76 TD,ER-IAE,5.04E+21,73479367,Grixona,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Republic of Moldova,Ilyushin,Il-76,IL-76 TD,ER-IAX,504e1a,63470088,Oscar Jet,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Republic of Moldova,Ilyushin,Il-76,IL-76 TD,ER-IAY,5.04E+31,1033418596,Oscar Jet,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Republic of Moldova,Ilyushin,Il-76,IL-76 TD,ER-IAZ,504e0e,1023412399,Oscar Jet,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Republic of Moldova,Ilyushin,Il-76,IL-76 TD,ER-IBI,5.04E+25,1013409303,Air Stork,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Republic of Moldova,Ilyushin,Il-76,IL-76 TD,ER-IBU,504e1f,1023414450,Air Stork,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Belarus,Ilyushin,Il-76,IL-76 MD,EW-355TH,510076,93495883,United Nations,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Belarus,Ilyushin,Il-76,IL-76 MD,EW-356TH,510078,1013405159,United Nations,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Belarus,Ilyushin,Il-76,IL-76 TD,EW-383TH,510081,1013405177,Ruby Star Airways,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Armenia,Ilyushin,Il-76,IL-76 TD,EW-412TH,60005f,23437090,Ruby Star Airways,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Belarus,Ilyushin,Il-76,IL-76 TD,EW-430TH,510087,43451528,Ruby Star Airways,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Belarus,Ilyushin,Il-76,IL-76 TD,EW-449TH,510097,1003405167,Ruby Star Airways,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Belarus,Ilyushin,Il-76,IL-76 MD,EW-78779,51001e,83489662,United Nations,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
