File Extension{string},MIME Type{string},_the_sort{serial}
bmp,image/bmp,1
bz,application/x-bzip,2
bz2,application/x-bzip2,3
csv,text/csv,4
dbf,text/plain,5
docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,6
gif,image/gif,7
gtar,application/x-gtar,8
gtz,application/x-compressed,9
gz,application/x-gzip,10
htm,text/html,11
html,text/html,12
ico,image/x-icon,13
jpe,image/jpeg,14
jpeg,image/jpeg,15
jpg,image/jpeg,16
json,text/json,17
kml,application/vnd.google-earth.kml+xml,18
kmz,application/vnd.google-earth.kmz,19
pdf,application/pdf,20
pkl,application/octet-stream,33
png,image/png,21
pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,22
py,text/x-python,34
rtf,application/rtf,23
shp,x-gis/x-shapefile,24
shx,x-gis/x-shapefile,25
tar,application/x-tar,26
tif,image/tiff,27
tiff,image/tiff,28
txt,text/plain,29
xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,30
z,application/x-compress,31
zip,application/zip,32
